"Social Link","Rank","Answer"
"Magician arcana Social Link - Classmate (Kenji Tomochika)","Rank 1","No specific response affects your relationship."
"Magician arcana Social Link - Classmate (Kenji Tomochika)","Rank 2","“No way” or “That’s a secret.” | “I’m into older women” or “I like them all.”"
"Magician arcana Social Link - Classmate (Kenji Tomochika)","Rank 3","“What, of life?” | “Good luck!’"
"Magician arcana Social Link - Classmate (Kenji Tomochika)","Rank 4","“Good luck!”"
"Magician arcana Social Link - Classmate (Kenji Tomochika)","Rank 5","“Okay…”"
"Magician arcana Social Link - Classmate (Kenji Tomochika)","Rank 6","“I’ve got plans already.”"
"Magician arcana Social Link - Classmate (Kenji Tomochika)","Rank 7","“What happened?” | “Bride-to-Be?” | “Congrats!”"
"Magician arcana Social Link - Classmate (Kenji Tomochika)","Rank 8","“Are you in trouble?” | “You should go with her” or “You should talk it out.”"
"Magician arcana Social Link - Classmate (Kenji Tomochika)","Rank 9","“Let me handle this!”"
"Magician arcana Social Link - Classmate (Kenji Tomochika)","Rank 10","“What happened?”"
"Priestess arcana Social Link - Fuuka Yamagishi","How to unlock: To begin Fuuka’s Social Link, you need to have Rank 1 with the Fortune arcana and have Courage at rank 6.",""
"Priestess arcana Social Link - Fuuka Yamagishi","Rank 1","No specific response affects your relationship."
"Priestess arcana Social Link - Fuuka Yamagishi","Rank 2","“Sure.” | “Sure thing.”"
"Priestess arcana Social Link - Fuuka Yamagishi","Rank 3","“Just a dash or two.” | “Just take it slow.”"
"Priestess arcana Social Link - Fuuka Yamagishi","Rank 4","“You’re a hard worker.” | “That’s not true.”"
"Priestess arcana Social Link - Fuuka Yamagishi","Rank 5","“You did a great job.” | “I’m glad I could help.” | “Can you make more sometime?”"
"Priestess arcana Social Link - Fuuka Yamagishi","Rank 6","“Of course.” | “That’s the spirit.”"
"Priestess arcana Social Link - Fuuka Yamagishi","Rank 7","“That’s messed up.”"
"Priestess arcana Social Link - Fuuka Yamagishi","Rank 8","“I believe in myself” or “It’s just my personality” or “I’ve never thought about it.” | “Not at all” or “We’ll see each other in the dorm.”"
